schluessel,laender,arbeitslos.gsamt,arbeitslos.ausld,arbeitslos.bhdt,arbeitslos.15bis20,arbeitslos15bis25,arbeitslos.55bis65,arbeitslos.langzeit
01,  Schleswig-Holstein,101749,11259,5307,2151,11166,18051,34645
01001000,"      Flensburg, Kreisfreie Stadt",5205,492,306,123,642,746,1760
01002000,"      Kiel, Landeshauptstadt, Kreisfreie Stadt",13070,2108,500,231,1251,1830,4446
01003000,"      Lübeck, Hansestadt, Kreisfreie Stadt",11109,1693,512,244,1212,1578,3879
01004000,"      Neumünster, Kreisfreie Stadt",4458,630,204,104,557,671,1645
01051000,"      Dithmarschen, Landkreis",5003,291,213,154,645,797,1367
01051001,        Albersdorf,153,6,3,6,25,17,44
01051002,        Arkebek,8,0,-,0,1,2,5
01051003,        Averlak,15,0,-,1,3,2,1
01051004,        Bargenstedt,25,0,-,0,2,4,10
01051005,        Barkenholm,5,0,-,0,0,2,2
01051006,        Barlt,25,2,2,1,3,5,6
01051008,        Bergewöhrden,2,0,-,0,0,1,-
01051010,        Brickeln,6,0,-,0,1,1,2
01051011,        Brunsbüttel,542,32,23,15,66,75,158
01051012,        Buchholz,22,0,2,1,5,5,6
01051013,        Büsum,185,9,5,2,13,46,37
01051014,        Büsumer Deichhausen,11,1,2,0,0,2,3
01051015,        Bunsoh,24,0,3,0,3,6,8
01051016,        Burg (Dithmarschen),202,7,6,6,24,33,69
01051017,        Busenwurth,9,2,-,0,1,3,1
01051019,        Dellstedt,25,1,1,1,5,5,9
01051020,        Delve,20,1,1,1,3,5,6
01051021,        Diekhusen-Fahrstedt,18,2,1,0,3,4,5
01051022,        Dingen,18,0,1,1,4,4,4
01051023,        Dörpling,15,1,1,0,3,2,4
01051024,        Eddelak,45,1,2,1,4,6,12
01051026,        Eggstedt,30,2,-,1,3,4,7
01051027,        Elpersbüttel,23,0,1,1,3,6,5
01051028,        Epenwöhrden,23,1,-,0,2,5,8
01051030,        Fedderingen,7,1,1,0,1,1,3
01051032,        Frestedt,9,0,1,1,2,1,1
01051033,        Friedrichsgabekoog,1,0,-,0,0,0,-
01051034,        Friedrichskoog,74,0,3,1,6,18,20
01051035,        Gaushorn,7,1,-,0,0,0,1
01051036,        Glüsing,4,0,-,0,0,0,-
01051037,        Großenrade,13,0,-,0,1,3,3
01051038,        Groven,-,-,-,-,-,-,-
01051039,        Gudendorf,7,0,-,0,1,0,4
01051040,        Hägen,-,-,-,-,-,-,-
01051043,        Hedwigenkoog,5,0,-,0,1,0,-
01051044,        Heide,1155,123,55,43,172,158,315
01051045,        Hellschen-Heringsand-Unterschaar,4,0,-,0,1,1,1
01051046,        Helse,22,2,1,0,3,5,5
01051047,        Hemme,23,0,-,0,2,2,8
01051048,        Hemmingstedt,97,4,3,2,12,18,26
01051049,        Hennstedt,65,1,4,2,8,12,14
01051050,        Hillgroven,1,0,-,0,0,0,-
01051051,        Hochdonn,47,2,1,3,8,6,12
01051052,        Hövede,2,0,-,0,0,0,-
01051053,        Hollingstedt,8,0,-,0,1,1,2
01051054,        Immenstedt,1,0,-,0,0,0,-
01051057,        Kaiser-Wilhelm-Koog,8,0,-,0,1,2,2
01051058,        Karolinenkoog,4,0,-,0,0,0,1
01051060,"        Kleve, Dithmarschen",9,0,-,0,2,0,1
01051061,        Krempel,29,0,5,0,2,6,9
01051062,        Kronprinzenkoog,27,1,3,1,2,6,9
01051063,        Krumstedt,13,0,2,0,0,2,1
01051064,        Kuden,15,0,-,2,3,2,6
01051065,        Lehe,31,0,2,1,4,9,10
01051067,        Lieth,10,1,1,0,2,3,2
01051068,        Linden,17,1,1,0,1,3,4
01051069,        Lohe-Rickelshof,43,1,4,1,5,7,11
01051071,        Lunden,114,3,7,4,16,15,35
01051072,        Marne,227,10,9,4,20,42,69
01051073,        Marnerdeich,13,0,-,0,1,2,4
01051074,        Meldorf,316,21,14,14,49,36,88
01051075,        Neuenkirchen,29,0,2,1,2,10,10
01051076,        Neufeld,13,0,-,0,1,1,3
01051077,        Neufelderkoog,3,0,-,0,0,1,1
01051078,        Nindorf,22,1,-,1,2,3,6
01051079,        Norddeich,19,0,1,0,2,2,3
01051080,        Norderheistedt,10,0,-,0,1,2,3
01051081,        Norderwöhrden,3,0,-,1,1,0,-
01051082,        Nordhastedt,71,4,4,1,8,12,12
01051083,        Odderade,12,0,-,0,0,2,6
01051084,        Oesterdeichstrich,9,1,-,0,1,2,1
01051085,        Offenbüttel,5,0,-,0,1,0,2
01051086,        Osterrade,13,0,1,0,2,2,5
01051087,        Ostrohe,19,0,1,0,2,5,6
01051088,        Pahlen,39,1,2,2,9,2,8
01051089,        Quickborn,4,0,-,0,1,0,-
01051090,        Ramhusen,4,1,-,0,1,0,1
01051092,        Rehm-Flehde-Bargen,18,0,-,0,0,3,5
01051093,        Reinsbüttel,8,0,1,0,2,0,1
01051096,        Sankt Annen,10,0,1,0,1,2,6
01051097,        Sankt Michaelisdonn,114,7,6,5,15,15,32
01051098,        Sarzbüttel,23,1,-,0,2,8,9
01051099,        Schafstedt,32,1,2,1,4,3,8
01051100,        Schalkholz,22,1,-,1,3,2,4
01051102,        Schlichting,16,1,1,1,2,4,4
01051103,        Schmedeswurth,4,0,-,0,0,1,-
01051104,        Schrum,2,0,-,0,0,0,-
01051105,        Schülp,18,0,1,0,1,4,4
01051107,        Stelle-Wittenwurth,13,0,4,1,2,5,3
01051108,        Strübbel,4,0,-,0,1,0,-
01051109,        Süderdeich,20,0,-,1,2,2,5
01051110,        Süderhastedt,20,0,-,1,2,5,7
01051111,        Süderheistedt,-,-,-,-,-,-,-
01051113,        Wöhrden,34,2,2,1,4,7,11
01051114,        Tellingstedt,84,2,-,1,11,11,24
01051117,        Tielenhemme,3,0,-,0,0,0,-
01051118,        Trennewurth,3,0,-,0,0,0,1
01051119,        Volsemenhusen,5,0,-,0,1,2,1
01051120,        Wallen,0,0,-,0,0,0,-
01051121,        Warwerort,9,0,-,0,0,3,4
01051122,        Weddingstedt,55,1,2,2,8,12,15
01051125,        Welmbüttel,18,2,1,0,1,3,7
01051126,        Wennbüttel,0,0,-,0,0,0,-
01051127,        Wesselburen,143,11,4,5,22,19,39
01051128,        Wesselburener Deichhausen,3,0,-,0,0,1,1
01051129,        Wesselburenerkoog,4,0,-,0,0,0,-
01051130,        Wesseln,19,0,1,1,3,3,2
01051131,        Westerborstel,2,0,-,0,0,1,-
01051132,        Westerdeichstrich,25,0,1,0,3,4,5
01051133,        Wiemerstedt,4,0,1,0,2,0,-
01051134,        Windbergen,29,2,1,2,5,3,7
01051135,        Wolmersdorf,5,1,1,0,0,2,-
01051136,        Wrohm,20,1,1,1,2,4,6
01051137,        Nordermeldorf,19,0,-,0,1,4,6
01051138,        Tensbüttel-Röst,15,1,-,0,2,3,2
