Land,RB,RS.Kreis,VB,Gem,name,flaeche,insgesamt,maennlich,weiblich,Laengengrad,Breitengrad,bevoelkerungsdichte,
01,0,01,0000,000,"Flensburg, Stadt","  56,74", 83 971, 41 344, 42 627,"9,43751","54,78252",01,dicht besiedelt
01,0,02,0000,000,"Kiel, Landeshauptstadt","  118,65", 241 533, 117 071, 124 462,"10,13727","54,321775",01,dicht besiedelt
01,0,03,0000,000,"Luebeck, Hansestadt","  214,21", 212 958, 101 689, 111 269,"10,683932","53,866269",01,dicht besiedelt
01,0,04,0000,000,"Neumuenster, Stadt","  71,63", 77 058, 37 585, 39 473,"9,988422","54,069895",01,dicht besiedelt
01,0,51,0011,011,"Brunsbuettel, Stadt","  65,24", 12 721, 6 358, 6 363,"9,126939","53,896665",02,mittlere Besiedlungsdichte
01,0,51,0044,044,"Heide, Stadt","  31,97", 21 105, 9 911, 11 194,"9,095401","54,195834",02,mittlere Besiedlungsdichte
01,0,51,5163,003,Averlak,"  9,07",  581,  296,  285,"9,182663","53,941154",03,gering besiedelt
01,0,51,5163,010,Brickeln,"  6,07",  210,  104,  106,"9,221166","54,00849",03,gering besiedelt
01,0,51,5163,012,Buchholz,"  14,55", 1 020,  525,  495,"9,223594","53,987198",03,gering besiedelt
01,0,51,5163,016,Burg (Dithmarschen),"  11,23", 4 187, 2 048, 2 139,"9,258097","53,995937",03,gering besiedelt
01,0,51,5163,022,Dingen,"  7,02",  642,  328,  314,"9,125804","53,960888",03,gering besiedelt
01,0,51,5163,024,Eddelak,"  9,21", 1 349,  649,  700,"9,137789","53,945505",03,gering besiedelt
01,0,51,5163,026,Eggstedt,"  12,79",  782,  391,  391,"9,25927","54,054535",03,gering besiedelt
01,0,51,5163,032,Frestedt,"  10,32",  378,  189,  189,"9,175759","54,023639",03,gering besiedelt
01,0,51,5163,037,Großenrade,"  10,40",  490,  239,  251,"9,223436","54,022051",03,gering besiedelt
01,0,51,5163,051,Hochdonn,"  5,46", 1 174,  578,  596,"9,29316","54,019565",03,gering besiedelt
