"","Schluessel","Name.y","Wahlberechtigte.btw","Wahlbeteiligung.btw","Gueltige.Zweitstimmen.btw","CDU.CSU.btw","SPD.btw","GRUENE.btw","FDP.btw","LINKE.btw","AfD.btw","Sonstige.Parteien.btw"
"1",1001,"      Flensburg, Kreisfreie Stadt","70321","66,6","46265","14136","16480","5507","2061","3780","1855","2446"
"2",1002,"      Kiel, Landeshauptstadt, Kreisfreie Stadt","187464","70,4","130686","38037","46070","18814","6688","9478","4778","6821"
"3",1003,"      Luebeck, Hansestadt, Kreisfreie Stadt","167287","67,8","112029","37701","38703","12561","5244","7396","4792","5632"
"4",1004,"      Neumuenster, Kreisfreie Stadt","61095","65,4","39388","14170","14092","2959","1925","2157","1965","2120"
"5",10041100,"      Saarbruecken, Landeshauptstadt","131860","68,3","88313","27769","26875","8387","4408","10777","3971","6126"
"6",10041511,"        Friedrichsthal, Saar","8637","68,6","5759","1990","2021","222","162","704","293","367"
"7",10041512,"        Grossrosseln","6711","75,8","4944","1729","1816","183","132","503","218","363"
"8",10041513,"        Heusweiler","15246","75,8","11290","4340","3293","574","611","1087","677","708"
"9",10041514,"        Kleinblittersdorf","9530","73,5","6790","2728","2020","373","294","587","342","446"
"10",10041515,"        Puettlingen","15986","75,8","11846","4954","3352","642","415","1158","660","665"
"11",10041516,"        Quierschied","11097","75,3","8094","3185","2549","324","280","758","437","561"
"12",10041517,"        Riegelsberg","12159","75,8","9024","3487","2790","540","383","885","446","493"
"13",10041518,"        Sulzbach, Saar","13245","66,8","8640","2841","2952","360","285","1027","466","709"
"14",10041519,"        Voelklingen","28659","66,1","18418","5846","6476","785","614","2358","938","1401"
"15",10042111,"        Beckingen","12528","75,9","9264","3478","3075","384","340","899","521","567"
"16",10042112,"        Losheim am See","13026","72,6","9175","4012","2571","433","305","748","493","613"
"17",10042113,"        Merzig","23539","71,1","16151","6759","4829","828","621","1413","744","957"
"18",10042114,"        Mettlach","9318","73,1","6649","2751","2037","294","241","541","394","391"
"19",10042115,"        Perl","4681","77,1","3524","1745","854","239","214","168","105","199"
"20",10042116,"        Wadern","13118","75,6","9604","4190","2871","478","334","712","480","539"
"21",10042117,"        Weiskirchen","5252","71,0","3600","1554","995","177","117","297","197","263"
"22",10043111,"        Eppelborn","14716","75,6","10791","4676","3066","442","373","817","768","649"
"23",10043112,"        Illingen, Saar","14349","76,3","10661","4381","3366","485","321","974","508","626"
"24",10043113,"        Merchweiler","8676","74,1","6242","2358","1988","263","182","666","321","464"
"25",10043114,"        Neunkirchen, Saar","35838","65,2","22780","6816","8525","987","753","2858","1313","1528"
"26",10043115,"        Ottweiler","12067","74,1","8710","2842","2981","477","296","962","506","646"
"27",10043116,"        Schiffweiler","13328","72,8","9431","3049","3373","400","232","1160","547","670"
"28",10043117,"        Spiesen-Elversberg","11171","70,5","7686","2789","2529","301","251","862","451","503"
"29",10044111,"        Dillingen, Saar","15193","67,7","9972","3892","3021","504","346","1084","542","583"
"30",10044112,"        Lebach","15286","75,2","11189","5081","2809","488","489","929","646","747"
"31",10044113,"        Nalbach","7477","77,3","5574","2277","1661","305","182","433","327","389"
"32",10044114,"        Rehlingen-Siersburg","12005","77,1","9021","3326","3371","519","236","619","443","507"
"33",10044115,"        Saarlouis","27770","69,5","18839","7253","5762","1126","818","1813","944","1123"
"34",10044116,"        Saarwellingen","10935","74,8","7933","3324","2338","380","270","714","381","526"
"35",10044117,"        Schmelz","13265","73,8","9453","3624","2941","422","312","863","601","690"
"36",10044118,"        Schwalbach, Saar","14533","76,6","10827","4274","3368","502","332","1043","571","737"
"37",10044119,"        ueberherrn","9562","71,6","6658","2674","2010","365","226","590","330","463"
"38",10044120,"        Wadgassen","14532","72,6","10322","3813","3319","595","441","950","548","656"
"39",10044121,"        Wallerfangen","7633","74,0","5504","2026","1716","258","220","641","269","374"
"40",10044122,"        Bous","5358","72,9","3780","1323","1188","283","136","413","200","237"
"41",10044123,"        Ensdorf, Saar","5069","71,9","3533","1381","1051","203","101","380","156","261"
"42",10045111,"        Bexbach","14974","72,6","10575","3753","3603","508","377","1075","526","733"
"43",10045112,"        Blieskastel","17896","78,2","13627","5312","4064","794","428","1334","808","887"
"44",10045113,"        Gersheim","5514","77,9","4124","1639","1091","270","132","433","264","295"
"45",10045114,"        Homburg","32236","71,1","22424","8637","6713","1248","1059","2029","1361","1377"
"46",10045115,"        Kirkel","8300","79,1","6441","2256","2247","415","298","541","290","394"
"47",10045116,"        Mandelbachtal","9387","80,0","7285","2984","2025","448","293","627","381","527"
"48",10045117,"        St.Ingbert","29822","74,2","21667","8690","6046","1250","948","1932","1194","1607"
"49",10046111,"        Freisen","6787","78,5","5179","2160","1735","186","131","452","236","279"
"50",10046112,"        Marpingen","8944","80,9","7009","2980","2236","338","180","593","314","368"
"51",10046113,"        Namborn","6117","75,3","4461","1801","1357","176","114","455","269","289"
"52",10046114,"        Nohfelden","8373","78,5","6370","2525","2205","259","185","491","316","389"
"53",10046115,"        Nonnweiler","7264","77,8","5504","2300","1814","200","212","422","270","286"
"54",10046116,"        Oberthal","5112","80,1","3962","1773","1293","146","72","280","172","226"
"55",10046117,"        St. Wendel","21691","75,5","15943","6913","4455","876","577","1427","773","922"
"56",10046118,"        Tholey","10300","80,2","7998","4108","1949","356","227","561","363","434"
"57",1051001,"        Albersdorf","2695","56,3","1500","721","394","81","101","65","65","73"
"58",1051002,"        Arkebek","176","71,0","124","67","23","10","9","6","3","6"
"59",1051003,"        Averlak","476","55,3","260","106","83","9","17","7","18","20"
"60",1051004,"        Bargenstedt","743","66,4","483","245","142","13","24","23","13","23"
"61",1051005,"        Barkenholm","144","70,8","101","54","26","11","3","2","1","4"
"62",1051006,"        Barlt","638","69,0","435","202","147","21","18","22","13","12"
"63",1051008,"        Bergewoehrden","25","92,0","23","17","1","-","3","1","-","1"
"64",1051010,"        Brickeln","156","63,5","96","60","9","4","7","3","8","5"
"65",1051011,"        Brunsbuettel","10521","55,4","5733","2104","2048","344","401","288","281","267"
"66",1051012,"        Buchholz","799","65,0","515","276","132","16","28","23","20","20"
"67",1051013,"        Buesum","4160","56,9","2341","1062","720","131","154","93","92","89"
"68",1051014,"        Buesumer Deichhausen","329","64,4","209","89","57","20","14","7","7","15"
"69",1051015,"        Bunsoh","620","64,4","395","209","75","33","14","30","11","23"
"70",1051016,"        Burg (Dithmarschen)","3440","56,3","1907","802","577","127","120","101","103","77"
"71",1051017,"        Busenwurth","239","65,7","154","82","38","11","4","5","5","9"
"72",1051019,"        Dellstedt","594","64,1","374","232","64","14","17","20","9","18"
"73",1051020,"        Delve","575","64,9","367","158","107","30","30","13","15","14"
